D:\Mr Tuan white\Tuan\CONG TRINH\An Giang\Cau Long Binh\TKKT\Ho so xuat\2010-09\30080 & 30090_Bo tri dau mo A1, A2-cau Kenh-new2.dwg,Dau mo cau Kenh so 2,11/17/2010 3:46:56 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 4\04. Slope protection of Abut\Slope protection of Abut OP4.dwg,Layout1,12/10/2010 9:16:13 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 6\04. Slope protection of Abut\Slope protection of Abut OP6.dwg,Layout1,12/10/2010 9:16:54 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 6\04. Slope protection of Abut\Slope protection of Abut OP6.dwg,Layout1,12/10/2010 9:17:05 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out\Flyover 6\04. Slope protection of Abut\Slope protection of Abut OP6.dwg,Layout1,12/10/2010 9:17:16 AM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\Nau\06. SPT boring\DIA CHAT OP6_NEW 101210\hinh tru OP6.dwg,Model,12/10/2010 1:29:45 PM,Admin,HP LaserJet 5100 PCL 6,A4,1:1.40401,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\Nau\06. SPT boring\DIA CHAT OP6_NEW 101210\hinh tru OP6.dwg,Model,12/10/2010 1:30:00 PM,Admin,HP LaserJet 5100 PCL 6,A4,1:1.40401,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\Nau\06. SPT boring\DIA CHAT OP6_NEW 101210\hinh tru OP6.dwg,Model,12/10/2010 1:30:11 PM,Admin,HP LaserJet 5100 PCL 6,A4,1:1.40401,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\Nau\06. SPT boring\DIA CHAT OP6_NEW 101210\hinh tru OP6.dwg,Model,12/10/2010 1:30:25 PM,Admin,HP LaserJet 5100 PCL 6,A4,1:1.40401,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\Nau\06. SPT boring\DIA CHAT OP6_NEW 101210\hinh tru OP6.dwg,Model,12/10/2010 1:30:39 PM,Admin,HP LaserJet 5100 PCL 6,A4,1:1.40401,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\Nau\06. SPT boring\DIA CHAT OP6_NEW 101210\hinh tru OP6.dwg,Model,12/10/2010 1:30:53 PM,Admin,HP LaserJet 5100 PCL 6,A4,1:1.40401,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\04. Slope protection of Abut\Slope protection of Abut OP3.dwg,Layout1,12/12/2010 5:37:29 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\04. Slope protection of Abut\Slope protection of Abut OP3.dwg,Layout1,12/12/2010 5:37:45 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\01. Expansion joint\Expansion Joint OP4.dwg,Layout1,12/12/2010 5:42:14 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\02. Transition Slab\Transition Slab _ OP4.dwg,OP3,12/12/2010 5:42:41 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP4.dwg,OP3-4,12/12/2010 5:43:20 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP4.dwg,OP3-4,12/12/2010 5:43:42 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP4.dwg,OP3-4,12/12/2010 5:44:08 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP4.dwg,OP3-4,12/12/2010 5:44:29 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
